Date,PM10,PM2. 5,CO,AQI,Place_vyttilla
1/5/2023,0.773336893,1.680270703,1.768680878,1.565568246,1
1/6/2023,0.481240019,1.332865384,1.846650629,0.915419606,1
1/7/2023,0.704041571,1.599105404,2.340459049,1.435538518,1
1/8/2023,0.521325654,1.381029407,1.58675146,0.993437443,1
1/9/2023,1.217075548,2.213642669,1.404822043,2.605806072,1
1/10/2023,1.36188102,2.386230421,0.677104371,2.943883365,1
1/11/2023,0.880542661,1.810491952,-0.0506133,1.825627703,1
1/12/2023,1.028455546,1.987985299,0.079336284,2.189710942,1
1/13/2023,1.072580818,2.040162991,0.261265702,2.293734724,1
1/14/2023,1.121367211,2.098584168,-0.232542718,2.96988931,1
1/15/2023,1.372756967,2.399163353,-0.778330972,2.96988931,1
1/16/2023,0.794778047,1.707474457,-0.804320889,1.643586083,1
1/17/2023,0.902294555,1.83546589,-0.752341055,1.825627703,1
1/18/2023,0.855683352,1.780166456,-0.726351138,1.72160392,1
1/19/2023,0.491494484,1.344906389,-0.830310805,0.941425551,1
1/20/2023,0.284851483,1.097842786,-0.830310805,0.447312585,1
1/21/2023,0.837038871,1.760098113,-0.622391471,1.72160392,1
1/22/2023,1.055800785,2.019648685,-0.856300722,2.241722833,1
1/23/2023,0.777065789,1.686514187,-0.830310805,1.617580138,1
1/24/2023,0.906334193,1.840817449,-0.804320889,1.851633648,1
1/25/2023,-0.267335905,0.435141497,-0.726351138,-0.098812274,1
1/26/2023,0.342338634,1.166521116,-0.986250306,0.577342313,1
1/27/2023,1.594937036,2.663173558,-0.934270473,3.333972549,1
1/28/2023,1.528127645,2.677890343,-0.752341055,3.542020114,1
1/29/2023,1.465668632,2.50931626,-0.830310805,3.099919038,1
1/30/2023,1.135972055,2.115084806,-0.752341055,2.423764452,1
1/31/2023,0.479375571,1.330189604,-0.700361221,0.811395823,1
2/1/2023,1.133796865,2.113300953,-0.648381388,0.47331853,1
2/2/2023,0.60522582,1.48092516,-0.674371304,0.083229346,1
2/3/2023,0.2015728,0.998392997,-0.492441887,0.343288802,1
2/4/2023,0.205612437,1.003298592,-0.388482219,0.343288802,1
2/5/2023,0.736358672,1.637458237,-0.388482219,0.187253128,1
2/6/2023,0.379316855,1.207549729,-0.570411637,-0.124818219,1
2/7/2023,0.958538741,1.884967804,0.365225369,0.369294748,1
2/8/2023,1.410356671,2.484342321,0.781064038,0.629354204,1
2/9/2023,1.384254397,2.425475181,-0.102593134,0.629354204,1
2/10/2023,1.661435686,2.745230783,-0.128583051,0.785389878,1
2/11/2023,1.267104906,2.259130914,-0.076603217,0.551336367,1
2/12/2023,1.62103931,2.670754932,-0.102593134,0.759383932,1
2/13/2023,1.437391169,2.285442742,-0.0506133,0.65536015,1
2/14/2023,1.686605736,1.319932451,0.209285868,0.88941366,1
